Episode,StratNum,CorrLoc_Change,CorrLoc_Same,Trap,Strat
1,2,1,3,0,3
1,3,3,4,0,3
1,3,3,4,1,3
1,1,2,1,0,3
1,2,1,3,0,3
1,2,1,3,0,3
1,3,3,4,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,2,1,3,0,3
1,1,2,1,0,3
1,3,3,4,0,3
1,2,1,3,0,3
1,2,1,3,0,3
1,1,2,1,0,3
1,2,1,3,0,3
1,3,3,4,0,3
1,2,1,3,1,3
1,1,2,1,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,1,2,1,0,3
1,1,2,1,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,2,1,3,0,3
1,3,3,4,1,3
1,1,2,1,0,3
1,2,1,3,0,3
1,2,1,3,0,3
1,2,1,3,0,3
1,3,3,4,0,3
1,3,3,4,1,3
1,1,2,1,0,3
1,2,1,3,0,3
1,1,2,1,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,2,1,3,0,3
1,1,2,1,0,3
1,2,1,3,1,3
1,2,1,3,0,3
1,3,3,4,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,3,3,4,0,3
1,1,2,1,0,3
1,3,3,4,0,3
2,2,3,1,0,1
2,1,1,4,0,1
2,1,1,4,0,1
2,2,3,1,0,1
2,3,4,2,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,3,4,2,0,1
2,3,4,2,0,1
2,2,3,1,0,1
2,2,3,1,1,1
2,3,4,2,0,1
2,2,3,1,0,1
2,1,1,4,0,1
2,1,1,4,1,1
2,1,1,4,0,1
2,3,4,2,0,1
2,3,4,2,0,1
2,2,3,1,0,1
2,1,1,4,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,2,3,1,0,1
2,2,3,1,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,2,3,1,0,1
2,2,3,1,0,1
2,3,4,2,1,1
2,1,1,4,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,1,1,4,0,1
2,2,3,1,0,1
2,3,4,2,0,1
2,1,1,4,1,1
2,3,4,2,0,1
2,2,3,1,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,3,4,2,0,1
2,3,4,2,0,1
2,1,1,4,0,1
2,1,1,4,0,1
2,2,3,1,0,1
2,2,3,1,0,1
2,2,3,1,0,1
2,2,3,1,0,1
3,2,2,4,0,2
3,2,2,4,0,2
3,2,2,4,0,2
3,3,1,3,1,2
3,2,2,4,0,2
3,2,2,4,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,3,1,3,1,2
3,1,4,2,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,1,4,2,0,2
3,1,4,2,0,2
3,2,2,4,1,2
3,1,4,2,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,1,4,2,0,2
3,2,2,4,0,2
3,3,1,3,0,2
3,1,4,2,0,2
3,2,2,4,0,2
3,1,4,2,1,2
3,1,4,2,0,2
3,2,2,4,0,2
3,3,1,3,0,2
3,3,1,3,0,2
3,2,2,4,0,2
3,2,2,4,0,2
3,1,4,2,0,2
3,2,2,4,0,2
3,2,2,4,1,2
3,1,4,2,0,2
3,2,2,4,0,2
3,3,1,3,0,2
3,2,2,4,0,2
3,1,4,2,0,2
3,1,4,2,0,2
3,1,4,2,0,2
3,3,1,3,0,2
3,1,4,2,0,2
3,3,1,3,0,2
3,1,4,2,0,2
3,1,4,2,0,2
3,2,2,4,1,2
4,1,3,1,0,3
4,1,3,1,0,3
4,1,3,1,0,3
4,2,4,3,0,3
4,2,4,3,0,3
4,2,4,3,0,3
4,1,3,1,0,3
4,3,2,4,0,3
4,2,4,3,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,2,4,3,1,3
4,1,3,1,0,3
4,1,3,1,0,3
4,1,3,1,0,3
4,2,4,3,0,3
4,1,3,1,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,2,4,3,0,3
4,2,4,3,0,3
4,1,3,1,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,1,3,1,1,3
4,2,4,3,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,3,2,4,0,3
4,1,3,1,0,3
4,3,2,4,0,3
4,2,4,3,0,3
4,1,3,1,0,3
4,2,4,3,1,3
4,2,4,3,0,3
5,3,4,2,0,1
5,1,2,4,0,1
5,3,4,2,0,1
5,2,1,1,0,1
5,2,1,1,0,1
5,3,4,2,0,1
5,3,4,2,0,1
5,2,1,1,0,1
5,1,2,4,1,1
5,3,4,2,0,1
5,3,4,2,0,1
5,3,4,2,0,1
5,1,2,4,1,1
5,3,4,2,0,1
5,1,2,4,0,1
5,1,2,4,0,1
5,1,2,4,0,1
5,2,1,1,0,1
5,1,2,4,0,1
5,1,2,4,0,1
5,1,2,4,0,1
5,2,1,1,1,1
5,1,2,4,0,1
5,3,4,2,0,1
5,2,1,1,0,1
5,1,2,4,0,1
5,2,1,1,0,1
5,2,1,1,0,1
5,1,2,4,0,1
5,2,1,1,0,1
5,2,1,1,0,1
5,2,1,1,1,1
5,2,1,1,0,1
5,1,2,4,0,1
5,1,2,4,0,1
5,3,4,2,0,1
5,3,4,2,0,1
5,3,4,2,0,1
5,2,1,1,0,1
5,3,4,2,0,1
5,3,4,2,0,1
5,2,1,1,0,1
6,1,1,1,0,3
6,2,2,3,1,3
6,1,1,1,0,3
6,2,2,3,0,3
6,3,3,4,0,3
6,2,2,3,0,3
6,2,2,3,0,3
6,2,2,3,0,3
6,1,1,1,0,3
6,2,2,3,0,3
6,3,3,4,0,3
6,3,3,4,1,3
6,3,3,4,0,3
6,1,1,1,0,3
6,3,3,4,0,3
6,3,3,4,0,3
6,1,1,1,0,3
6,2,2,3,0,3
6,3,3,4,1,3
6,3,3,4,0,3
6,1,1,1,0,3
6,2,2,3,0,3
6,1,1,1,0,3
6,2,2,3,0,3
6,3,3,4,0,3
6,2,2,3,0,3
6,3,3,4,0,3
6,1,1,1,0,3
6,3,3,4,0,3
6,1,1,1,0,3
6,2,2,3,0,3
6,1,1,1,1,3
6,1,1,1,0,3
7,3,1,2,0,1
7,3,1,2,0,1
7,2,3,1,0,1
7,2,3,1,0,1
7,1,4,4,0,1
7,2,3,1,1,1
7,1,4,4,0,1
7,1,4,4,0,1
7,3,1,2,0,1
7,2,3,1,0,1
7,3,1,2,0,1
7,3,1,2,0,1
7,1,4,4,0,1
7,1,4,4,0,1
7,2,3,1,0,1
7,1,4,4,0,1
7,3,1,2,0,1
7,2,3,1,0,1
7,2,3,1,0,1
7,1,4,4,0,1
7,3,1,2,0,1
7,1,4,4,1,1
7,3,1,2,0,1
7,2,3,1,0,1
7,1,4,4,0,1
7,1,4,4,0,1
7,3,1,2,0,1
7,1,4,4,0,1
7,2,3,1,0,1
7,3,1,2,0,1
7,3,1,2,0,1
7,2,3,1,0,1
7,3,1,2,0,1
7,2,3,1,1,1
7,1,4,4,0,1
7,2,3,1,0,1
8,2,1,4,0,2
8,3,2,3,0,2
8,3,2,3,0,2
8,2,1,4,0,2
8,2,1,4,0,2
8,2,1,4,0,2
8,3,2,3,1,2
8,3,2,3,0,2
8,2,1,4,0,2
8,3,2,3,0,2
8,2,1,4,0,2
8,1,3,2,0,2
8,1,3,2,0,2
8,3,2,3,0,2
8,1,3,2,0,2
8,3,2,3,0,2
8,3,2,3,1,2
8,2,1,4,0,2
8,2,1,4,0,2
8,3,2,3,0,2
8,3,2,3,0,2
8,2,1,4,0,2
8,2,1,4,0,2
8,1,3,2,0,2
8,1,3,2,0,2
8,3,2,3,0,2
8,2,1,4,0,2
8,1,3,2,0,2
8,2,1,4,1,2
8,1,3,2,0,2
8,1,3,2,0,2
8,1,3,2,0,2
8,1,3,2,0,2
8,2,1,4,0,2
8,2,1,4,0,2
8,3,2,3,0,2
8,1,3,2,1,2
8,2,1,4,0,2
8,1,3,2,0,2
8,3,2,3,0,2
8,1,3,2,1,2
8,1,3,2,0,2
8,1,3,2,0,2
8,1,3,2,0,2
8,3,2,3,0,2
8,3,2,3,0,2
8,3,2,3,0,2
8,2,1,4,0,2
9,2,2,3,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,1,1,1,0,3
9,2,2,3,0,3
9,2,2,3,0,3
9,2,2,3,0,3
9,2,2,3,1,3
9,2,2,3,0,3
9,1,1,1,0,3
9,3,4,4,0,3
9,1,1,1,0,3
9,1,1,1,0,3
9,1,1,1,0,3
9,3,4,4,0,3
9,2,2,3,1,3
9,2,2,3,0,3
9,1,1,1,0,3
9,1,1,1,0,3
9,1,1,1,0,3
9,3,4,4,0,3
9,2,2,3,0,3
9,1,1,1,1,3
9,1,1,1,0,3
9,1,1,1,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,2,2,3,0,3
9,2,2,3,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,1,1,1,0,3
9,2,2,3,0,3
9,2,2,3,0,3
9,1,1,1,0,3
9,3,4,4,0,3
9,2,2,3,0,3
9,1,1,1,0,3
9,1,1,1,0,3
9,1,1,1,1,3
9,3,4,4,0,3
9,2,2,3,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,3,4,4,0,3
9,2,2,3,0,3
10,3,3,3,0,2
10,1,2,2,0,2
10,1,2,2,1,2
10,1,2,2,0,2
10,1,2,2,0,2
10,1,2,2,0,2
10,3,3,3,0,2
10,1,2,2,0,2
10,3,3,3,0,2
10,2,4,4,1,2
10,2,4,4,0,2
10,3,3,3,0,2
10,2,4,4,0,2
10,3,3,3,0,2
10,3,3,3,0,2
10,3,3,3,1,2
10,3,3,3,0,2
10,2,4,4,0,2
10,1,2,2,0,2
10,2,4,4,0,2
10,1,2,2,0,2
10,3,3,3,0,2
10,2,4,4,0,2
10,2,4,4,0,2
10,2,4,4,0,2
10,2,4,4,1,2
10,2,4,4,0,2
10,3,3,3,0,2
10,2,4,4,0,2
10,1,2,2,0,2
10,1,2,2,0,2
10,3,3,3,0,2
10,1,2,2,0,2
11,2,1,1,0,1
11,2,1,1,1,1
11,3,2,2,0,1
11,2,1,1,0,1
11,1,4,4,0,1
11,2,1,1,0,1
11,1,4,4,0,1
11,1,4,4,0,1
11,2,1,1,0,1
11,3,2,2,0,1
11,1,4,4,0,1
11,3,2,2,0,1
11,1,4,4,0,1
11,2,1,1,1,1
11,3,2,2,0,1
11,2,1,1,0,1
11,1,4,4,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,2,1,1,0,1
11,1,4,4,0,1
11,2,1,1,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,1,4,4,1,1
11,2,1,1,0,1
11,3,2,2,0,1
11,2,1,1,0,1
11,2,1,1,1,1
11,2,1,1,0,1
11,1,4,4,0,1
11,1,4,4,0,1
11,1,4,4,0,1
11,2,1,1,0,1
11,1,4,4,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,3,2,2,0,1
11,1,4,4,1,1
11,1,4,4,0,1
12,2,2,3,0,3
12,1,3,1,0,3
12,1,3,1,0,3
12,2,2,3,0,3
12,3,1,4,0,3
12,1,3,1,0,3
12,2,2,3,0,3
12,1,3,1,0,3
12,3,1,4,0,3
12,1,3,1,0,3
12,3,1,4,1,3
12,1,3,1,0,3
12,1,3,1,0,3
12,3,1,4,0,3
12,2,2,3,0,3
12,2,2,3,0,3
12,1,3,1,0,3
12,2,2,3,0,3
12,3,1,4,0,3
12,2,2,3,0,3
12,3,1,4,0,3
12,1,3,1,0,3
12,2,2,3,0,3
12,2,2,3,0,3
12,1,3,1,1,3
12,3,1,4,0,3
12,2,2,3,0,3
12,2,2,3,0,3
12,3,1,4,1,3
12,3,1,4,0,3
12,3,1,4,0,3
12,2,2,3,0,3
12,3,1,4,0,3
12,1,3,1,0,3
12,3,1,4,0,3
12,1,3,1,0,3
13,1,4,2,0,2
13,2,1,4,0,2
13,1,4,2,0,2
13,2,1,4,0,2
13,3,3,3,0,2
13,3,3,3,0,2
13,3,3,3,0,2
13,3,3,3,0,2
13,3,3,3,0,2
13,2,1,4,0,2
13,3,3,3,0,2
13,1,4,2,1,2
13,3,3,3,0,2
13,3,3,3,0,2
13,2,1,4,0,2
13,1,4,2,0,2
13,2,1,4,0,2
13,2,1,4,0,2
13,3,3,3,0,2
13,3,3,3,0,2
13,2,1,4,0,2
13,3,3,3,1,2
13,2,1,4,0,2
13,1,4,2,0,2
13,1,4,2,0,2
13,1,4,2,0,2
13,2,1,4,0,2
13,3,3,3,0,2
13,2,1,4,1,2
13,2,1,4,0,2
13,2,1,4,0,2
13,1,4,2,0,2
13,2,1,4,0,2
13,1,4,2,0,2
13,3,3,3,0,2
13,1,4,2,0,2
13,1,4,2,0,2
13,3,3,3,1,2
13,3,3,3,0,2
13,2,1,4,0,2
13,1,4,2,0,2
13,1,4,2,0,2
13,2,1,4,0,2
13,1,4,2,1,2
13,1,4,2,0,2
13,3,3,3,0,2
13,2,1,4,0,2
13,1,4,2,0,2
14,2,3,1,0,1
14,1,2,4,0,1
14,1,2,4,0,1
14,1,2,4,0,1
14,1,2,4,0,1
14,2,3,1,0,1
14,3,4,2,0,1
14,1,2,4,0,1
14,3,4,2,0,1
14,2,3,1,0,1
14,2,3,1,0,1
14,2,3,1,0,1
14,1,2,4,0,1
14,3,4,2,1,1
14,2,3,1,0,1
14,2,3,1,0,1
14,2,3,1,0,1
14,3,4,2,0,1
14,3,4,2,0,1
14,1,2,4,0,1
14,3,4,2,0,1
14,1,2,4,1,1
14,2,3,1,0,1
14,1,2,4,0,1
14,3,4,2,0,1
14,1,2,4,1,1
14,3,4,2,0,1
14,1,2,4,0,1
14,3,4,2,0,1
14,2,3,1,0,1
14,2,3,1,0,1
14,1,2,4,0,1
14,1,2,4,0,1
14,2,3,1,0,1
14,3,4,2,0,1
14,2,3,1,0,1
14,1,2,4,0,1
14,3,4,2,0,1
14,2,3,1,0,1
14,3,4,2,0,1
14,3,4,2,0,1
14,3,4,2,1,1
15,2,4,3,0,3
15,3,2,4,0,3
15,1,1,1,0,3
15,1,1,1,0,3
15,3,2,4,0,3
15,3,2,4,1,3
15,1,1,1,0,3
15,3,2,4,0,3
15,2,4,3,0,3
15,2,4,3,0,3
15,2,4,3,0,3
15,1,1,1,0,3
15,2,4,3,0,3
15,1,1,1,0,3
15,2,4,3,1,3
15,2,4,3,0,3
15,2,4,3,0,3
15,3,2,4,0,3
15,2,4,3,0,3
15,1,1,1,0,3
15,1,1,1,0,3
15,3,2,4,0,3
15,2,4,3,0,3
15,1,1,1,0,3
15,1,1,1,0,3
15,3,2,4,1,3
15,1,1,1,0,3
15,3,2,4,0,3
15,3,2,4,0,3
15,3,2,4,0,3
15,2,4,3,0,3
15,1,1,1,0,3
15,3,2,4,0,3
16,3,1,3,0,2
16,1,2,2,0,2
16,2,3,4,0,2
16,1,2,2,0,2
16,1,2,2,1,2
16,2,3,4,0,2
16,2,3,4,0,2
16,3,1,3,0,2
16,3,1,3,0,2
16,2,3,4,0,2
16,1,2,2,0,2
16,3,1,3,0,2
16,3,1,3,0,2
16,3,1,3,0,2
16,2,3,4,0,2
16,2,3,4,1,2
16,1,2,2,0,2
16,1,2,2,0,2
16,1,2,2,0,2
16,3,1,3,1,2
16,3,1,3,0,2
16,2,3,4,0,2
16,2,3,4,0,2
16,1,2,2,0,2
16,1,2,2,0,2
16,1,2,2,0,2
16,3,1,3,0,2
16,1,2,2,0,2
16,3,1,3,0,2
16,2,3,4,0,2
16,3,1,3,0,2
16,1,2,2,0,2
16,2,3,4,0,2
16,2,3,4,1,2
16,2,3,4,0,2
16,3,1,3,0,2
17,3,4,2,0,1
17,3,4,2,0,1
17,2,1,1,0,1
17,1,3,4,0,1
17,1,3,4,0,1
17,2,1,1,0,1
17,1,3,4,0,1
17,1,3,4,0,1
17,3,4,2,0,1
17,1,3,4,0,1
17,2,1,1,0,1
17,2,1,1,0,1
17,2,1,1,1,1
17,3,4,2,0,1
17,2,1,1,1,1
17,1,3,4,0,1
17,3,4,2,0,1
17,3,4,2,0,1
17,3,4,2,0,1
17,1,3,4,0,1
17,1,3,4,0,1
17,3,4,2,0,1
17,2,1,1,0,1
17,1,3,4,0,1
17,2,1,1,0,1
17,3,4,2,0,1
17,1,3,4,0,1
17,2,1,1,0,1
17,2,1,1,0,1
17,3,4,2,0,1
17,1,3,4,0,1
17,3,4,2,1,1
17,1,3,4,0,1
17,2,1,1,0,1
17,3,4,2,0,1
17,2,1,1,0,1
18,3,3,3,0,2
18,1,4,2,0,2
18,2,2,4,0,2
18,1,4,2,0,2
18,2,2,4,0,2
18,1,4,2,1,2
18,3,3,3,0,2
18,2,2,4,1,2
18,3,3,3,0,2
18,3,3,3,0,2
18,1,4,2,0,2
18,1,4,2,0,2
18,1,4,2,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,2,2,4,0,2
18,1,4,2,0,2
18,1,4,2,0,2
18,2,2,4,0,2
18,1,4,2,0,2
18,1,4,2,1,2
18,1,4,2,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,2,2,4,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,3,3,3,0,2
18,3,3,3,1,2
18,2,2,4,0,2
18,1,4,2,0,2
18,1,4,2,1,2
18,1,4,2,0,2
18,2,2,4,0,2
18,3,3,3,0,2
19,3,2,4,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,1,1,1,0,3
19,3,2,4,0,3
19,1,1,1,1,3
19,1,1,1,0,3
19,3,2,4,0,3
19,2,3,3,0,3
19,3,2,4,0,3
19,2,3,3,0,3
19,2,3,3,0,3
19,1,1,1,0,3
19,3,2,4,0,3
19,3,2,4,0,3
19,1,1,1,0,3
19,2,3,3,0,3
19,1,1,1,1,3
19,3,2,4,0,3
19,2,3,3,0,3
19,3,2,4,0,3
19,2,3,3,0,3
19,2,3,3,1,3
19,2,3,3,0,3
19,2,3,3,0,3
19,3,2,4,0,3
19,2,3,3,0,3
19,1,1,1,0,3
19,1,1,1,0,3
19,2,3,3,0,3
19,1,1,1,0,3
19,1,1,1,0,3
19,2,3,3,0,3
19,2,3,3,0,3
19,2,3,3,0,3
19,1,1,1,0,3
19,2,3,3,0,3
19,1,1,1,0,3
19,1,1,1,1,3
19,1,1,1,0,3
19,1,1,1,0,3
19,3,2,4,0,3
19,1,1,1,0,3
19,2,3,3,0,3
20,3,1,3,0,2
20,1,3,2,1,2
20,3,1,3,0,2
20,1,3,2,0,2
20,3,1,3,0,2
20,3,1,3,0,2
20,3,1,3,0,2
20,1,3,2,0,2
20,3,1,3,0,2
20,2,4,4,0,2
20,1,3,2,0,2
20,2,4,4,0,2
20,3,1,3,0,2
20,2,4,4,0,2
20,2,4,4,0,2
20,3,1,3,1,2
20,1,3,2,0,2
20,1,3,2,0,2
20,1,3,2,0,2
20,2,4,4,1,2
20,1,3,2,0,2
20,2,4,4,0,2
20,2,4,4,0,2
20,2,4,4,0,2
20,3,1,3,0,2
20,1,3,2,0,2
20,2,4,4,0,2
20,1,3,2,0,2
20,3,1,3,0,2
20,2,4,4,0,2
20,1,3,2,0,2
20,2,4,4,0,2
20,3,1,3,1,2
21,1,4,1,0,3
21,3,2,4,0,3
21,2,3,3,0,3
21,3,2,4,0,3
21,1,4,1,0,3
21,1,4,1,0,3
21,3,2,4,0,3
21,3,2,4,0,3
21,3,2,4,0,3
21,2,3,3,1,3
21,3,2,4,0,3
21,3,2,4,0,3
21,3,2,4,0,3
21,2,3,3,0,3
21,2,3,3,0,3
21,2,3,3,0,3
21,1,4,1,0,3
21,2,3,3,0,3
21,1,4,1,0,3
21,1,4,1,0,3
21,2,3,3,1,3
21,2,3,3,0,3
21,1,4,1,0,3
21,3,2,4,0,3
21,2,3,3,0,3
21,2,3,3,0,3
21,1,4,1,0,3
21,1,4,1,0,3
21,2,3,3,0,3
21,1,4,1,0,3
21,3,2,4,0,3
21,3,2,4,1,3
21,1,4,1,0,3
22,2,4,1,0,1
22,2,4,1,0,1
22,3,1,2,0,1
22,1,2,4,0,1
22,1,2,4,0,1
22,1,2,4,0,1
22,3,1,2,0,1
22,3,1,2,0,1
22,2,4,1,1,1
22,2,4,1,0,1
22,1,2,4,0,1
22,2,4,1,0,1
22,3,1,2,0,1
22,2,4,1,0,1
22,2,4,1,0,1
22,1,2,4,0,1
22,2,4,1,0,1
22,2,4,1,0,1
22,1,2,4,0,1
22,2,4,1,0,1
22,1,2,4,1,1
22,3,1,2,0,1
22,3,1,2,0,1
22,1,2,4,1,1
22,2,4,1,0,1
22,3,1,2,0,1
22,1,2,4,0,1
22,1,2,4,0,1
22,3,1,2,0,1
22,3,1,2,0,1
22,3,1,2,0,1
22,1,2,4,0,1
22,2,4,1,0,1
22,3,1,2,0,1
22,1,2,4,0,1
22,3,1,2,0,1
23,1,3,2,0,2
23,3,4,3,1,2
23,1,3,2,0,2
23,1,3,2,0,2
23,2,2,4,0,2
23,1,3,2,0,2
23,1,3,2,0,2
23,1,3,2,0,2
23,1,3,2,0,2
23,1,3,2,1,2
23,3,4,3,0,2
23,3,4,3,0,2
23,2,2,4,0,2
23,1,3,2,0,2
23,1,3,2,0,2
23,2,2,4,0,2
23,1,3,2,0,2
23,3,4,3,0,2
23,2,2,4,0,2
23,1,3,2,1,2
23,3,4,3,0,2
23,2,2,4,0,2
23,2,2,4,0,2
23,3,4,3,0,2
23,2,2,4,0,2
23,2,2,4,0,2
23,3,4,3,0,2
23,3,4,3,0,2
23,3,4,3,0,2
23,3,4,3,0,2
23,1,3,2,0,2
23,3,4,3,0,2
23,3,4,3,0,2
23,2,2,4,0,2
23,3,4,3,1,2
23,2,2,4,0,2
23,2,2,4,0,2
23,2,2,4,0,2
23,2,2,4,0,2
23,2,2,4,0,2
23,1,3,2,0,2
23,3,4,3,1,2
24,2,4,1,0,1
24,3,3,2,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,1,1,4,0,1
24,2,4,1,0,1
24,2,4,1,0,1
24,3,3,2,1,1
24,2,4,1,0,1
24,2,4,1,0,1
24,3,3,2,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,3,3,2,0,1
24,2,4,1,0,1
24,2,4,1,0,1
24,2,4,1,0,1
24,1,1,4,0,1
24,2,4,1,0,1
24,2,4,1,0,1
24,2,4,1,1,1
24,3,3,2,0,1
24,2,4,1,0,1
24,1,1,4,0,1
24,1,1,4,0,1
24,1,1,4,0,1
24,3,3,2,0,1
24,3,3,2,0,1
24,2,4,1,0,1
24,2,4,1,0,1
24,3,3,2,0,1
24,2,4,1,1,1
24,1,1,4,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,2,4,1,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,3,3,2,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,1,1,4,1,1
24,1,1,4,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,3,3,2,0,1
24,1,1,4,0,1
24,1,1,4,1,1
